"_id","email","role","time"
"68a77123cd1ebccc1f4f3d46","admin@admin.com","admin","2025-08-21T19:18:59.612Z"
"68a773bdf66a7be166185b75","adminhhh@admin.com","user","2025-08-21T19:30:05.768Z"
"68a775f2301014d0a4adcde9","6b257c93-a711-4382-9226-4e1eeee63ad7@aol.com","user","2025-08-21T17:05:46.077Z"
"68a775f2301014d0a4adcded","c34404c9-9bc7-48bc-8429-d7af5d710c8b@gmail.com","user","2025-08-21T18:43:25.597Z"
"68a775f2301014d0a4adce00","ff3c3245-01f6-4ae6-a5c1-36ceb9eae386@hust.edu.vn","user","2025-08-21T17:54:15.753Z"
"68a775f2301014d0a4adce5b","bfe5c315-1ac5-4be1-9ac9-2a493b021012@gmail.com","user","2025-08-21T16:57:39.278Z"
"68a775f2301014d0a4adcfb3","fbf9f5f4-fb4d-4b7b-9c2a-4edda96402c1@outlook.com","user","2025-08-21T18:28:34.018Z"
"68a775f2301014d0a4adcfbc","5cb4f14b-9a0d-4e36-ac2e-e2fb9a8f2923@protonmail.com","user","2025-08-21T19:46:07.980Z"
"68a775f2301014d0a4add024","0a8d3d72-1309-4dac-b48e-e8dd1b7229a6@gmail.com","user","2025-08-21T17:27:50.346Z"
"68a775f2301014d0a4add073","daad51c6-68d7-4fc1-bae7-13f3a898390a@outlook.com","user","2025-08-21T17:04:18.111Z"
"68a775f2301014d0a4add0ab","2b0dabed-1e8e-40d1-bb87-6e3849c6876b@vnu.edu.vn","user","2025-08-21T20:15:32.519Z"
"68a775f2301014d0a4add0f9","9377c246-2b3f-43bd-83d4-512f9d421e38@outlook.com","user","2025-08-21T19:27:26.458Z"
"68a775f2301014d0a4add10d","1b68f080-6d0a-4706-a7fb-8eaee1776347@gmail.com","user","2025-08-21T20:22:54.393Z"
"68a775f2301014d0a4add112","3b9b5017-f4d8-4e43-b333-9ecb651f481f@vnu.edu.vn","user","2025-08-21T18:42:05.906Z"
"68a775f2301014d0a4add151","33b38240-2125-468e-baa7-368d527fae4b@gmail.com","user","2025-08-21T18:58:33.111Z"
"68a775f2301014d0a4add1a4","a175d418-0154-4876-97e0-25e1d1b41438@icloud.com","user","2025-08-21T20:18:55.409Z"
"68a775f2301014d0a4add1a6","70b62e47-b24a-4968-b0dc-1f5ed19bfec5@outlook.com","user","2025-08-21T20:06:02.199Z"
"68a775f2301014d0a4add1d0","b482cb14-6017-4f08-8a1e-c78b87dc61ba@fpt.edu.vn","user","2025-08-21T19:30:05.279Z"
"68a775f2301014d0a4add1ff","47147f86-6db6-440d-91bf-ce4565024f60@vnu.edu.vn","user","2025-08-21T16:52:51.337Z"
"68a775f2301014d0a4add304","5d25ea5f-26b5-42af-89da-f565b0c24f9b@aol.com","user","2025-08-21T18:56:05.874Z"
"68a775f2301014d0a4add32d","ae1072fd-fb8e-4f28-a7e7-bfabe922b0f9@hotmail.com","user","2025-08-21T19:38:01.636Z"
"68a775f2301014d0a4add38d","29c44abb-9155-47ed-ba7c-fe01d0b8f158@hotmail.com","user","2025-08-21T16:35:20.667Z"
"68a775f2301014d0a4add396","4f11670a-7500-404f-9e6a-251fe7fe6be3@fpt.edu.vn","user","2025-08-21T17:12:15.614Z"
"68a775f2301014d0a4add3d9","684300b6-4e9c-469b-aef8-cc1e17a26a56@outlook.com","user","2025-08-21T19:37:37.552Z"
"68a775f2301014d0a4add3df","48789fb5-612f-4734-ba07-f8222d2e2a9b@gmail.com","user","2025-08-21T19:30:42.108Z"
"68a775f2301014d0a4add3e6","261bde7f-e9d7-4d1d-8e53-e9622a5585cf@gmail.com","user","2025-08-21T17:48:05.330Z"
"68a775f2301014d0a4add44b","3268e047-8b95-4188-8818-80ebcd253fea@gmail.com","user","2025-08-21T18:52:41.664Z"
"68a775f2301014d0a4add53f","b2fbe910-d35a-4f79-a44d-4b90596e70ab@gmail.com","user","2025-08-21T20:11:20.081Z"
"68a775f2301014d0a4add755","3e9d8427-34d1-4505-aada-68dfa49f6c0d@hotmail.com","user","2025-08-21T18:12:28.018Z"
"68a775f2301014d0a4add764","d7a97711-35a3-467d-a905-fcac0161c2e3@fpt.edu.vn","user","2025-08-21T19:33:38.627Z"
"68a775f2301014d0a4add7e2","6d40a4e0-3a79-4b23-8d3e-2215ae142db5@fpt.edu.vn","user","2025-08-21T20:12:03.698Z"
