"_id","email","role","time"
"68a775a1301014d0a4a197ad","905ea6d8-6bce-4d9e-8360-ad914f6e3b3b@hotmail.com","user","2025-08-30T23:12:33.884Z"
"68a775f2301014d0a4adcd58","fda568de-122c-4339-9dc5-558f79d0c035@aol.com","user","2025-08-31T05:43:48.098Z"
"68a775f2301014d0a4adcd66","7541a245-2a6f-4ccb-8104-0ad00e334c78@vnu.edu.vn","user","2025-08-31T16:38:53.591Z"
"68a775f2301014d0a4adcd72","cc9030e2-8b22-422f-9fec-9dc400be4b40@hotmail.com","user","2025-08-31T19:03:00.162Z"
"68a775f2301014d0a4adcd83","c60de64c-38d2-4470-9ffa-71d51496bfc4@vnu.edu.vn","user","2025-08-31T18:11:04.646Z"
"68a775f2301014d0a4adcd9d","30bf8e52-9b93-4999-ad7d-1b3b82ec1d38@yahoo.com","user","2025-08-31T11:10:24.250Z"
"68a775f2301014d0a4adcd9e","640bdf68-c4b3-42b8-be7d-e0f389a43c4e@vnu.edu.vn","user","2025-08-31T01:45:44.686Z"
"68a775f2301014d0a4adcd9f","7f87f2ff-8758-41f0-b8bd-4f326e138596@yahoo.com","user","2025-08-30T20:49:01.214Z"
"68a775f2301014d0a4adcda8","1763c635-f991-4f41-84ac-38eef1bffb6a@protonmail.com","user","2025-08-31T04:44:14.959Z"
"68a775f2301014d0a4adcda9","f18ca7c0-27ae-4d9b-8de6-745f7c1ba093@aol.com","user","2025-08-31T15:28:19.647Z"
"68a775f2301014d0a4adcdab","ef33ceca-bbc4-4a01-9445-840ac39ce982@yahoo.com","user","2025-08-30T16:58:09.518Z"
"68a775f2301014d0a4adcdc1","c1c4e660-702d-4248-af6f-3b81fe277ccd@aol.com","user","2025-08-30T22:43:14.706Z"
"68a775f2301014d0a4adcddd","22d6014c-bc81-4007-8d89-fcb664c84ce5@hotmail.com","user","2025-08-31T17:45:18.468Z"
"68a775f2301014d0a4adcdee","b0f99cd7-3ffe-4443-9ebf-aa1694da311f@vnu.edu.vn","user","2025-08-31T18:43:24.906Z"
"68a775f2301014d0a4adce0b","f8302799-d7f8-469e-be4c-ace9b14c4a62@icloud.com","user","2025-08-31T09:30:15.390Z"
"68a775f2301014d0a4adce0c","0dee70ae-ab61-48a7-9b19-b26e9480bee8@icloud.com","user","2025-08-31T05:01:32.789Z"
"68a775f2301014d0a4adce10","54382911-29e6-460b-b74c-f95850394c0a@yahoo.com","user","2025-08-31T00:53:19.230Z"
"68a775f2301014d0a4adce15","99696cf4-fc8e-49bb-88bc-8d391cdb5d0d@hotmail.com","user","2025-08-30T19:45:01.510Z"
"68a775f2301014d0a4adce27","cb7a8829-90e0-49b4-a4bd-c30463c9c99c@aol.com","user","2025-08-30T22:40:34.166Z"
"68a775f2301014d0a4adce5e","6f0447ea-2a57-4526-8ea4-de022d296372@fpt.edu.vn","user","2025-08-31T14:39:46.094Z"
"68a775f2301014d0a4adce63","f59bc604-3c41-4227-9454-7a4dae647c21@hust.edu.vn","user","2025-08-31T06:21:21.511Z"
"68a775f2301014d0a4adce64","cf42f127-c9be-4b71-b9cd-d53d074d2f70@hust.edu.vn","user","2025-08-30T23:05:48.852Z"
"68a775f2301014d0a4adce65","3671eb01-d341-4268-8f48-a516a6562fdf@gmail.com","user","2025-08-30T17:12:36.818Z"
"68a775f2301014d0a4adce6b","07f2fb2b-d749-4726-ba0c-3fbf1980a48b@protonmail.com","user","2025-08-30T22:10:34.419Z"
"68a775f2301014d0a4adce74","24d03a8b-de61-49d6-a859-5777866a38d8@fpt.edu.vn","user","2025-08-30T18:04:48.919Z"
"68a775f2301014d0a4adce7f","46c097f0-8f3c-4ac3-8040-381128e19a89@icloud.com","user","2025-08-30T21:29:16.147Z"
"68a775f2301014d0a4adce81","e1fe1cb3-8388-4a71-a544-72e0002fd8d2@aol.com","user","2025-08-31T16:26:18.302Z"
"68a775f2301014d0a4adce8c","506ebc51-d95e-428c-87ba-b72d1817a851@yahoo.com","user","2025-08-31T07:03:29.091Z"
"68a775f2301014d0a4adce91","3c25e0d4-cd77-4dba-9ccc-9d2356df5239@protonmail.com","user","2025-08-31T11:52:17.514Z"
"68a775f2301014d0a4adcef3","6b1ed77d-9b73-4f47-867c-a552e41b45c7@vnu.edu.vn","user","2025-08-30T19:26:53.374Z"
"68a775f2301014d0a4adcef6","96c82015-491e-429e-a1dc-1e119ffc1d87@vnu.edu.vn","user","2025-08-31T06:15:39.421Z"
