"_id","email","role","time"
"68a775f2301014d0a4adcda4","988d7cfb-4d3c-4915-bfe8-459e12a30224@fpt.edu.vn","user","2025-08-18T16:48:38.077Z"
"68a775f2301014d0a4adcdbe","a50bb9b8-528b-4bb2-ab8f-de1468a70694@icloud.com","user","2025-08-18T16:40:30.094Z"
"68a775f2301014d0a4adce37","579baa77-8072-4b8b-830f-a85e736ed9a8@hust.edu.vn","user","2025-08-18T19:58:58.340Z"
"68a775f2301014d0a4adce3a","96e64536-efa9-4369-ab38-fedfa6664da4@outlook.com","user","2025-08-18T17:12:07.654Z"
"68a775f2301014d0a4adcec1","fcd22351-14f6-4115-9d9b-b128a84713a7@gmail.com","user","2025-08-18T19:56:46.168Z"
"68a775f2301014d0a4adcfb7","f2bd6324-edc6-4042-93f1-37c126dae9bd@fpt.edu.vn","user","2025-08-18T17:08:48.172Z"
"68a775f2301014d0a4adcfe9","acb22705-cb2d-499b-ac65-cc93010d0824@yahoo.com","user","2025-08-18T17:51:33.270Z"
"68a775f2301014d0a4add042","5dbcf722-4c38-40cb-a3b1-2a319fe0ba87@fpt.edu.vn","user","2025-08-18T18:40:05.301Z"
"68a775f2301014d0a4add105","31f18d0d-add7-45eb-95b9-25fae1079ab1@protonmail.com","user","2025-08-18T16:59:05.005Z"
"68a775f2301014d0a4add2a9","306d1974-9bb6-452f-8da6-5c9bbe4a39f7@hust.edu.vn","user","2025-08-18T20:24:40.208Z"
"68a775f2301014d0a4add3f8","6fbb7a5f-a83e-4490-b66f-2213b204f818@fpt.edu.vn","user","2025-08-18T19:26:21.577Z"
"68a775f2301014d0a4add4be","90127687-187b-429b-a1ab-c67b7cc307da@vnu.edu.vn","user","2025-08-18T20:07:34.036Z"
"68a775f2301014d0a4add5da","75fcee19-b659-472d-911f-b77ab8892a36@hotmail.com","user","2025-08-18T18:08:13.685Z"
"68a775f2301014d0a4add653","fe628d06-94f0-48fe-a91c-b3c4b7d4064a@protonmail.com","user","2025-08-18T19:07:11.535Z"
"68a775f2301014d0a4add680","12ab4ed5-6f1e-48e4-b028-e4a9a2443631@outlook.com","user","2025-08-18T19:03:15.693Z"
"68a775f2301014d0a4add7a5","6edd5946-ce6c-40ff-ac18-68eb731348bd@yahoo.com","user","2025-08-18T20:11:34.139Z"
